"groupID","featureID","Control","IL6","SKMM2_drna_ctrl1","SKMM2_drna_ctrl2","SKMM2_drna_ctrl3","SKMM2_drna_IL61","SKMM2_drna_IL62","SKMM2_drna_IL63","GENENAME","HGNC","Length","Class","GC"
"ENSG00000001167.15","ENST00000341376.11",30.5385929643524,33.1522334262206,29.007022966021,32.8029027779357,29.8058531491005,41.6374891600212,27.2910069633908,30.5282041552497,"ENSG00000001167.15","NFYA",6209,"protein_coding",0.4632
"ENSG00000001167.15","ENST00000353205.5",15.3961673786368,21.0059051771866,17.7784979469161,13.5070776144441,14.9029265745503,25.5502774391039,18.5188975823009,18.948540510155,"ENSG00000001167.15","NFYA",1660,"protein_coding",0.512
"ENSG00000001461.17","ENST00000339255.2",14.431605226987,15.8714615031654,15.9070771103986,14.4718688726187,12.9158696979436,11.355678861824,20.4682552225431,15.7904504251292,"ENSG00000001461.17","NIPAL3",1676,"protein_coding",0.5245
"ENSG00000001461.17","ENST00000374399.9",57.5198870956671,48.6572374793121,62.6925980233356,47.2747716505545,62.5922916131111,66.2414600273065,42.8858680853283,36.8443843253014,"ENSG00000001461.17","NIPAL3",5372,"protein_coding",0.4855
"ENSG00000001497.18","ENST00000374807.9",113.395190819807,142.208895224443,111.34953977279,122.528489788172,106.307542898459,130.590306910976,128.657604255985,167.378774506369,"ENSG00000001497.18","LAS1L",2386,"protein_coding",0.5402
"ENSG00000001497.18","ENST00000677834.1",113.395190819807,142.208895224443,111.34953977279,122.528489788172,106.307542898459,130.590306910976,128.657604255985,167.378774506369,"ENSG00000001497.18","LAS1L",2386,"retained_intron",0.5402
"ENSG00000001631.17","ENST00000394505.7",11.1678536194528,5.5728256072713,14.9713666921399,11.577495098095,6.95469906812346,2.83891971545599,10.7214670213321,3.15809008502583,"ENSG00000001631.17","KRIT1",4079,"protein_coding",0.3771
"ENSG00000001631.17","ENST00000692807.1",9.91989606865403,10.5242298388387,14.0356562738811,5.78874754904748,9.93528438303351,13.2482920054613,7.79743056096879,10.5269669500861,"ENSG00000001631.17","KRIT1",4157,"protein_coding",0.3928
"ENSG00000002330.14","ENST00000309032.8",109.681086326901,107.134315594585,100.121014753685,119.634116013648,109.288128213369,82.3286717482238,116.961458414532,122.112816620999,"ENSG00000002330.14","BAD",929,"protein_coding",0.6577
"ENSG00000002330.14","ENST00000394532.7",101.213848769128,98.3996573127318,102.928146008461,99.3734995919818,101.339900706942,99.3621900409597,91.6198090913833,104.216972805853,"ENSG00000002330.14","BAD",1157,"protein_coding",0.6629
